Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,65.01,2,32.505,3.403,61.607,846.926
host,acl,aclmdlRICaptureGetInfo,20.785,6,3.464,0.193,14.182,24.82
host,acl,aclnnInplaceNormal,1695.055,1,1695.055,1695.055,1695.055,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,546270.533,1,546270.533,546270.533,546270.533,0
host,acl,aclrtBinaryLoadFromData,92.572,1,92.572,92.572,92.572,0
host,acl,aclrtCreateStreamWithConfig,2166.045,2,1083.023,912.334,1253.711,29134.564
host,acl,aclrtCtxGetSysParamOpt,14.846,8,1.856,0.339,8.93,7.612
host,acl,aclrtCtxSetSysParamOpt,3.616,2,1.808,0.763,2.853,1.092
host,acl,aclrtDestroyStreamForce,590.525,1,590.525,590.525,590.525,0
host,acl,aclrtFree,21.1,1,21.1,21.1,21.1,0
host,acl,aclrtGetCurrentContext,2.054,1,2.054,2.054,2.054,0
host,acl,aclrtGetDeviceCount,7.376,2,3.688,2.837,4.539,0.724
host,acl,aclrtGetResInCurrentThread,2.549,2,1.275,0.19,2.359,1.176
host,acl,aclrtGetStreamAttribute,2.849,1,2.849,2.849,2.849,0
host,acl,aclrtLaunchKernelWithHostArgs,41.371,1,41.371,41.371,41.371,0
host,acl,aclrtMemcpy,87.371,2,43.686,39.217,48.154,19.967
host,acl,aclrtResetDevice,6.304,1,6.304,6.304,6.304,0
host,acl,aclrtSetDevice,43.312,1,43.312,43.312,43.312,0
host,acl,aclrtSetOpExecuteTimeOutV2,1159.75,1,1159.75,1159.75,1159.75,0
host,acl,aclrtSetStreamFailureMode,6.354,2,3.177,2.348,4.006,0.687
host,acl,aclrtSynchronizeDeviceWithTimeout,20.403,2,10.202,7.199,13.204,9.015
host,acl,aclrtSynchronizeStream,31.75,2,15.875,3.798,27.952,145.854
host,node,launch,1265.67,2,632.835,540.06,725.61,8607.201
