Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,69.615,2,34.808,3.263,66.352,995.055
host,acl,aclmdlRICaptureGetInfo,14.508,6,2.418,0.217,8.787,9.369
host,acl,aclnnInplaceNormal,1783.895,1,1783.895,1783.895,1783.895,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,577701.051,1,577701.051,577701.051,577701.051,0
host,acl,aclrtBinaryLoadFromData,70.418,1,70.418,70.418,70.418,0
host,acl,aclrtCreateStreamWithConfig,2092.621,2,1046.311,913.045,1179.576,17759.693
host,acl,aclrtCtxGetSysParamOpt,13.451,8,1.681,0.375,7.303,5.123
host,acl,aclrtCtxSetSysParamOpt,2.626,2,1.313,0.627,1.999,0.471
host,acl,aclrtDestroyStreamForce,615.152,1,615.152,615.152,615.152,0
host,acl,aclrtFree,16.543,1,16.543,16.543,16.543,0
host,acl,aclrtGetCurrentContext,1.649,1,1.649,1.649,1.649,0
host,acl,aclrtGetDeviceCount,7.138,2,3.569,2.475,4.663,1.197
host,acl,aclrtGetResInCurrentThread,2.638,2,1.319,0.219,2.419,1.21
host,acl,aclrtGetStreamAttribute,3.501,1,3.501,3.501,3.501,0
host,acl,aclrtLaunchKernelWithHostArgs,52.908,1,52.908,52.908,52.908,0
host,acl,aclrtMemcpy,84.516,2,42.258,38.175,46.341,16.671
host,acl,aclrtResetDevice,5.414,1,5.414,5.414,5.414,0
host,acl,aclrtSetDevice,50.203,1,50.203,50.203,50.203,0
host,acl,aclrtSetOpExecuteTimeOutV2,1164.466,1,1164.466,1164.466,1164.466,0
host,acl,aclrtSetStreamFailureMode,6.15,2,3.075,2.217,3.933,0.736
host,acl,aclrtSynchronizeDeviceWithTimeout,21.539,2,10.77,7.107,14.432,13.414
host,acl,aclrtSynchronizeStream,31.737,2,15.869,3.868,27.869,144.012
host,node,launch,1349.732,2,674.866,563.884,785.848,12317.004
