Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,64.709,2,32.355,3.349,61.36,841.319
host,acl,aclmdlRICaptureGetInfo,15.344,6,2.557,0.211,8.987,10.167
host,acl,aclnnInplaceNormal,3262.92,1,3262.92,3262.92,3262.92,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,524341.291,1,524341.291,524341.291,524341.291,0
host,acl,aclrtBinaryLoadFromData,78.114,1,78.114,78.114,78.114,0
host,acl,aclrtCreateStreamWithConfig,3503.894,2,1751.947,1590.709,1913.185,25997.693
host,acl,aclrtCtxGetSysParamOpt,10.104,8,1.263,0.37,5.756,3.039
host,acl,aclrtCtxSetSysParamOpt,2.565,2,1.283,0.598,1.967,0.469
host,acl,aclrtDestroyStreamForce,678.232,1,678.232,678.232,678.232,0
host,acl,aclrtFree,21.158,1,21.158,21.158,21.158,0
host,acl,aclrtGetCurrentContext,1.911,1,1.911,1.911,1.911,0
host,acl,aclrtGetDeviceCount,5.814,2,2.907,2.125,3.689,0.612
host,acl,aclrtGetResInCurrentThread,2.766,2,1.383,0.222,2.544,1.348
host,acl,aclrtGetStreamAttribute,3.212,1,3.212,3.212,3.212,0
host,acl,aclrtLaunchKernelWithHostArgs,60.301,1,60.301,60.301,60.301,0
host,acl,aclrtMemcpy,245.48,2,122.74,110.557,134.923,148.425
host,acl,aclrtResetDevice,6.23,1,6.23,6.23,6.23,0
host,acl,aclrtSetDevice,43.218,1,43.218,43.218,43.218,0
host,acl,aclrtSetOpExecuteTimeOutV2,1137.089,1,1137.089,1137.089,1137.089,0
host,acl,aclrtSetStreamFailureMode,12.234,2,6.117,2.076,10.158,16.33
host,acl,aclrtSynchronizeDeviceWithTimeout,28.121,2,14.061,6.574,21.547,56.048
host,acl,aclrtSynchronizeStream,40.025,2,20.013,13.974,26.051,36.463
host,node,launch,2860.451,2,1430.226,581.202,2279.249,720840.904
