Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,70.83,2,35.415,3.394,67.436,1025.344
host,acl,aclmdlRICaptureGetInfo,15.403,6,2.567,0.218,8.786,10.002
host,acl,aclnnInplaceNormal,1694.408,1,1694.408,1694.408,1694.408,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,527328.771,1,527328.771,527328.771,527328.771,0
host,acl,aclrtBinaryLoadFromData,80.932,1,80.932,80.932,80.932,0
host,acl,aclrtCreateStreamWithConfig,2420.08,2,1210.04,1000.385,1419.695,43955.219
host,acl,aclrtCtxGetSysParamOpt,8.856,8,1.107,0.314,4.134,1.681
host,acl,aclrtCtxSetSysParamOpt,4.734,2,2.367,1.12,3.614,1.555
host,acl,aclrtDestroyStreamForce,721.96,1,721.96,721.96,721.96,0
host,acl,aclrtFree,21.378,1,21.378,21.378,21.378,0
host,acl,aclrtGetCurrentContext,2.651,1,2.651,2.651,2.651,0
host,acl,aclrtGetDeviceCount,6.502,2,3.251,2.849,3.653,0.162
host,acl,aclrtGetResInCurrentThread,2.394,2,1.197,0.255,2.139,0.887
host,acl,aclrtGetStreamAttribute,2.882,1,2.882,2.882,2.882,0
host,acl,aclrtLaunchKernelWithHostArgs,57.897,1,57.897,57.897,57.897,0
host,acl,aclrtMemcpy,244.893,2,122.447,119.804,125.089,6.983
host,acl,aclrtResetDevice,5.173,1,5.173,5.173,5.173,0
host,acl,aclrtSetDevice,43.114,1,43.114,43.114,43.114,0
host,acl,aclrtSetOpExecuteTimeOutV2,1171.933,1,1171.933,1171.933,1171.933,0
host,acl,aclrtSetStreamFailureMode,16.06,2,8.03,2.276,13.784,33.109
host,acl,aclrtSynchronizeDeviceWithTimeout,30.978,2,15.489,11.166,19.812,18.688
host,acl,aclrtSynchronizeStream,30.685,2,15.343,5.043,25.642,106.08
host,node,launch,1282.22,2,641.11,557.933,724.287,6918.413
