Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,70.334,2,35.167,3.277,67.057,1016.972
host,acl,aclmdlRICaptureGetInfo,14.629,6,2.438,0.214,8.644,9.224
host,acl,aclnnInplaceNormal,1674.924,1,1674.924,1674.924,1674.924,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,523260.028,1,523260.028,523260.028,523260.028,0
host,acl,aclrtBinaryLoadFromData,67.456,1,67.456,67.456,67.456,0
host,acl,aclrtCreateStreamWithConfig,2498.568,2,1249.284,1155.561,1343.007,8784.001
host,acl,aclrtCtxGetSysParamOpt,12.032,8,1.504,0.334,7.087,4.653
host,acl,aclrtCtxSetSysParamOpt,5.434,2,2.717,1.562,3.872,1.334
host,acl,aclrtDestroyStreamForce,788.818,1,788.818,788.818,788.818,0
host,acl,aclrtFree,33.343,1,33.343,33.343,33.343,0
host,acl,aclrtGetCurrentContext,3.178,1,3.178,3.178,3.178,0
host,acl,aclrtGetDeviceCount,6.54,2,3.27,2.853,3.687,0.174
host,acl,aclrtGetResInCurrentThread,2.689,2,1.345,0.202,2.487,1.305
host,acl,aclrtGetStreamAttribute,3.414,1,3.414,3.414,3.414,0
host,acl,aclrtLaunchKernelWithHostArgs,45.846,1,45.846,45.846,45.846,0
host,acl,aclrtMemcpy,199.364,2,99.682,94.264,105.1,29.355
host,acl,aclrtResetDevice,6.541,1,6.541,6.541,6.541,0
host,acl,aclrtSetDevice,51.825,1,51.825,51.825,51.825,0
host,acl,aclrtSetOpExecuteTimeOutV2,1161.34,1,1161.34,1161.34,1161.34,0
host,acl,aclrtSetStreamFailureMode,16.312,2,8.156,2.517,13.795,31.798
host,acl,aclrtSynchronizeDeviceWithTimeout,34.07,2,17.035,10.309,23.761,45.239
host,acl,aclrtSynchronizeStream,27.3,2,13.65,7.363,19.937,39.526
host,node,launch,1327.026,2,663.513,593.354,733.672,4922.285
