Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,66.394,2,33.197,3.388,63.006,888.576
host,acl,aclmdlRICaptureGetInfo,13.03,6,2.172,0.236,7.19,6.25
host,acl,aclnnInplaceNormal,4520.114,1,4520.114,4520.114,4520.114,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,528174.988,1,528174.988,528174.988,528174.988,0
host,acl,aclrtBinaryLoadFromData,77.792,1,77.792,77.792,77.792,0
host,acl,aclrtCreateStreamWithConfig,2339.714,2,1169.857,1121.518,1218.196,2336.659
host,acl,aclrtCtxGetSysParamOpt,11.293,8,1.412,0.344,6.693,4.166
host,acl,aclrtCtxSetSysParamOpt,2.824,2,1.412,0.545,2.279,0.752
host,acl,aclrtDestroyStreamForce,584.969,1,584.969,584.969,584.969,0
host,acl,aclrtFree,15.363,1,15.363,15.363,15.363,0
host,acl,aclrtGetCurrentContext,7.229,1,7.229,7.229,7.229,0
host,acl,aclrtGetDeviceCount,7.505,2,3.753,2.406,5.099,1.813
host,acl,aclrtGetResInCurrentThread,2.504,2,1.252,0.234,2.27,1.036
host,acl,aclrtGetStreamAttribute,2.461,1,2.461,2.461,2.461,0
host,acl,aclrtLaunchKernelWithHostArgs,56.677,1,56.677,56.677,56.677,0
host,acl,aclrtMemcpy,89.424,2,44.712,41.619,47.805,9.567
host,acl,aclrtResetDevice,4.899,1,4.899,4.899,4.899,0
host,acl,aclrtSetDevice,41.813,1,41.813,41.813,41.813,0
host,acl,aclrtSetOpExecuteTimeOutV2,1144.612,1,1144.612,1144.612,1144.612,0
host,acl,aclrtSetStreamFailureMode,14.083,2,7.042,2.109,11.974,24.33
host,acl,aclrtSynchronizeDeviceWithTimeout,36.249,2,18.125,9.059,27.19,82.183
host,acl,aclrtSynchronizeStream,32.068,2,16.034,4.704,27.364,128.369
host,node,launch,4082.92,2,2041.46,523.26,3559.66,2304931.24
