Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,68.061,2,34.031,4.898,63.163,848.703
host,acl,aclmdlRICaptureGetInfo,19.193,6,3.199,0.251,12.163,18.443
host,acl,aclnnInplaceNormal,1797.602,1,1797.602,1797.602,1797.602,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,527190.58,1,527190.58,527190.58,527190.58,0
host,acl,aclrtBinaryLoadFromData,96.309,1,96.309,96.309,96.309,0
host,acl,aclrtCreateStreamWithConfig,2033.017,2,1016.508,910.334,1122.683,11273.024
host,acl,aclrtCtxGetSysParamOpt,13.529,8,1.691,0.317,7.646,5.417
host,acl,aclrtCtxSetSysParamOpt,3.203,2,1.602,0.66,2.543,0.886
host,acl,aclrtDestroyStreamForce,576.539,1,576.539,576.539,576.539,0
host,acl,aclrtFree,20.603,1,20.603,20.603,20.603,0
host,acl,aclrtGetCurrentContext,2.348,1,2.348,2.348,2.348,0
host,acl,aclrtGetDeviceCount,6.633,2,3.317,2.237,4.396,1.165
host,acl,aclrtGetResInCurrentThread,2.707,2,1.354,0.273,2.434,1.167
host,acl,aclrtGetStreamAttribute,3.33,1,3.33,3.33,3.33,0
host,acl,aclrtLaunchKernelWithHostArgs,41.305,1,41.305,41.305,41.305,0
host,acl,aclrtMemcpy,113.154,2,56.577,53.069,60.085,12.306
host,acl,aclrtResetDevice,5.783,1,5.783,5.783,5.783,0
host,acl,aclrtSetDevice,45.237,1,45.237,45.237,45.237,0
host,acl,aclrtSetOpExecuteTimeOutV2,1158.122,1,1158.122,1158.122,1158.122,0
host,acl,aclrtSetStreamFailureMode,6.82,2,3.41,2.43,4.39,0.96
host,acl,aclrtSynchronizeDeviceWithTimeout,34.354,2,17.177,10.337,24.017,46.786
host,acl,aclrtSynchronizeStream,40.881,2,20.441,5.311,35.57,228.902
host,node,launch,3159.411,2,1579.706,798.118,2361.293,610879.02
