Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,64.615,2,32.307,3.036,61.579,856.821
host,acl,aclmdlRICaptureGetInfo,13.3,6,2.217,0.222,7.485,7.052
host,acl,aclnnInplaceNormal,1633.244,1,1633.244,1633.244,1633.244,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,525539.71,1,525539.71,525539.71,525539.71,0
host,acl,aclrtBinaryLoadFromData,69.095,1,69.095,69.095,69.095,0
host,acl,aclrtCreateStreamWithConfig,2002.867,2,1001.434,878.38,1124.487,15142.164
host,acl,aclrtCtxGetSysParamOpt,11.135,8,1.392,0.385,6.931,4.501
host,acl,aclrtCtxSetSysParamOpt,2.823,2,1.412,0.646,2.177,0.586
host,acl,aclrtDestroyStreamForce,592.754,1,592.754,592.754,592.754,0
host,acl,aclrtFree,16.324,1,16.324,16.324,16.324,0
host,acl,aclrtGetCurrentContext,7.692,1,7.692,7.692,7.692,0
host,acl,aclrtGetDeviceCount,7.731,2,3.866,2.267,5.464,2.555
host,acl,aclrtGetResInCurrentThread,2.142,2,1.071,0.196,1.946,0.766
host,acl,aclrtGetStreamAttribute,2.888,1,2.888,2.888,2.888,0
host,acl,aclrtLaunchKernelWithHostArgs,59.747,1,59.747,59.747,59.747,0
host,acl,aclrtMemcpy,118.296,2,59.148,55.362,62.934,14.334
host,acl,aclrtResetDevice,5.132,1,5.132,5.132,5.132,0
host,acl,aclrtSetDevice,42.534,1,42.534,42.534,42.534,0
host,acl,aclrtSetOpExecuteTimeOutV2,1150.579,1,1150.579,1150.579,1150.579,0
host,acl,aclrtSetStreamFailureMode,12.477,2,6.239,1.956,10.521,18.34
host,acl,aclrtSynchronizeDeviceWithTimeout,36.402,2,18.201,8.76,27.642,89.132
host,acl,aclrtSynchronizeStream,26.564,2,13.282,6.118,20.446,51.323
host,node,launch,1252.21,2,626.105,558.001,694.209,4638.155
