Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,64.126,2,32.063,3.3,60.826,827.31
host,acl,aclmdlRICaptureGetInfo,18.93,6,3.155,0.236,11.508,17.027
host,acl,aclnnInplaceNormal,1730.969,1,1730.969,1730.969,1730.969,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,526630.22,1,526630.22,526630.22,526630.22,0
host,acl,aclrtBinaryLoadFromData,75.115,1,75.115,75.115,75.115,0
host,acl,aclrtCreateStreamWithConfig,1983.063,2,991.531,879.482,1103.581,12555.09
host,acl,aclrtCtxGetSysParamOpt,10.417,8,1.302,0.314,6.285,3.762
host,acl,aclrtCtxSetSysParamOpt,2.564,2,1.282,0.643,1.921,0.408
host,acl,aclrtDestroyStreamForce,583.32,1,583.32,583.32,583.32,0
host,acl,aclrtFree,14.85,1,14.85,14.85,14.85,0
host,acl,aclrtGetCurrentContext,1.49,1,1.49,1.49,1.49,0
host,acl,aclrtGetDeviceCount,6.107,2,3.053,1.837,4.27,1.48
host,acl,aclrtGetResInCurrentThread,2.304,2,1.152,0.204,2.1,0.899
host,acl,aclrtGetStreamAttribute,3.184,1,3.184,3.184,3.184,0
host,acl,aclrtLaunchKernelWithHostArgs,45.256,1,45.256,45.256,45.256,0
host,acl,aclrtMemcpy,91.332,2,45.666,41.955,49.377,13.772
host,acl,aclrtResetDevice,6.455,1,6.455,6.455,6.455,0
host,acl,aclrtSetDevice,39.959,1,39.959,39.959,39.959,0
host,acl,aclrtSetOpExecuteTimeOutV2,1148.028,1,1148.028,1148.028,1148.028,0
host,acl,aclrtSetStreamFailureMode,5.565,2,2.782,2.02,3.545,0.581
host,acl,aclrtSynchronizeDeviceWithTimeout,35.795,2,17.898,8.452,27.343,89.217
host,acl,aclrtSynchronizeStream,31.65,2,15.825,4.635,27.015,125.216
host,node,launch,1384.278,2,692.139,617.175,767.103,5619.601
