Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,67.299,2,33.65,3.571,63.728,904.716
host,acl,aclmdlRICaptureGetInfo,17.539,6,2.923,0.265,10.856,15.022
host,acl,aclnnInplaceNormal,1687.554,1,1687.554,1687.554,1687.554,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,542314.475,1,542314.475,542314.475,542314.475,0
host,acl,aclrtBinaryLoadFromData,75.871,1,75.871,75.871,75.871,0
host,acl,aclrtCreateStreamWithConfig,2031.948,2,1015.974,895.775,1136.173,14447.8
host,acl,aclrtCtxGetSysParamOpt,12.408,8,1.551,0.367,7.194,4.768
host,acl,aclrtCtxSetSysParamOpt,2.673,2,1.337,0.598,2.075,0.545
host,acl,aclrtDestroyStreamForce,611.362,1,611.362,611.362,611.362,0
host,acl,aclrtFree,16.885,1,16.885,16.885,16.885,0
host,acl,aclrtGetCurrentContext,1.843,1,1.843,1.843,1.843,0
host,acl,aclrtGetDeviceCount,6.974,2,3.487,2.754,4.22,0.537
host,acl,aclrtGetResInCurrentThread,2.509,2,1.255,0.253,2.256,1.003
host,acl,aclrtGetStreamAttribute,2.95,1,2.95,2.95,2.95,0
host,acl,aclrtLaunchKernelWithHostArgs,53.637,1,53.637,53.637,53.637,0
host,acl,aclrtMemcpy,106.438,2,53.219,51.761,54.677,2.126
host,acl,aclrtResetDevice,5.505,1,5.505,5.505,5.505,0
host,acl,aclrtSetDevice,49.53,1,49.53,49.53,49.53,0
host,acl,aclrtSetOpExecuteTimeOutV2,1159.184,1,1159.184,1159.184,1159.184,0
host,acl,aclrtSetStreamFailureMode,5.767,2,2.884,2.228,3.539,0.43
host,acl,aclrtSynchronizeDeviceWithTimeout,22.286,2,11.143,7.856,14.43,10.804
host,acl,aclrtSynchronizeStream,32.053,2,16.026,5.629,26.424,108.108
host,node,launch,1312.886,2,656.443,592.431,720.455,4097.536
