Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,68.602,2,34.301,3.781,64.821,931.47
host,acl,aclmdlRICaptureGetInfo,14.278,6,2.38,0.216,7.862,8.028
host,acl,aclnnInplaceNormal,1814.151,1,1814.151,1814.151,1814.151,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,543793.441,1,543793.441,543793.441,543793.441,0
host,acl,aclrtBinaryLoadFromData,80.016,1,80.016,80.016,80.016,0
host,acl,aclrtCreateStreamWithConfig,2771.179,2,1385.59,1148.715,1622.464,56109.529
host,acl,aclrtCtxGetSysParamOpt,12.018,8,1.502,0.299,7.701,5.684
host,acl,aclrtCtxSetSysParamOpt,3.677,2,1.839,0.666,3.011,1.375
host,acl,aclrtDestroyStreamForce,579.852,1,579.852,579.852,579.852,0
host,acl,aclrtFree,17.407,1,17.407,17.407,17.407,0
host,acl,aclrtGetCurrentContext,2.072,1,2.072,2.072,2.072,0
host,acl,aclrtGetDeviceCount,7.979,2,3.989,2.796,5.183,1.424
host,acl,aclrtGetResInCurrentThread,2.926,2,1.463,0.276,2.65,1.409
host,acl,aclrtGetStreamAttribute,3.419,1,3.419,3.419,3.419,0
host,acl,aclrtLaunchKernelWithHostArgs,64.043,1,64.043,64.043,64.043,0
host,acl,aclrtMemcpy,90.833,2,45.417,38.597,52.236,46.506
host,acl,aclrtResetDevice,6.064,1,6.064,6.064,6.064,0
host,acl,aclrtSetDevice,47.73,1,47.73,47.73,47.73,0
host,acl,aclrtSetOpExecuteTimeOutV2,1150.029,1,1150.029,1150.029,1150.029,0
host,acl,aclrtSetStreamFailureMode,13.141,2,6.571,2.369,10.772,17.653
host,acl,aclrtSynchronizeDeviceWithTimeout,19.857,2,9.929,6.725,13.132,10.262
host,acl,aclrtSynchronizeStream,24.923,2,12.462,4.104,20.819,69.848
host,node,launch,1340.113,2,670.057,577.176,762.937,8626.787
