Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,70.027,2,35.013,5.567,64.46,867.096
host,acl,aclmdlRICaptureGetInfo,13.766,6,2.294,0.231,7.014,6.587
host,acl,aclnnInplaceNormal,1671.801,1,1671.801,1671.801,1671.801,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,531247.785,1,531247.785,531247.785,531247.785,0
host,acl,aclrtBinaryLoadFromData,80.846,1,80.846,80.846,80.846,0
host,acl,aclrtCreateStreamWithConfig,2774.186,2,1387.093,946.809,1827.377,193850.001
host,acl,aclrtCtxGetSysParamOpt,11.201,8,1.4,0.351,6.807,4.362
host,acl,aclrtCtxSetSysParamOpt,3.112,2,1.556,0.888,2.224,0.446
host,acl,aclrtDestroyStreamForce,599.746,1,599.746,599.746,599.746,0
host,acl,aclrtFree,16.404,1,16.404,16.404,16.404,0
host,acl,aclrtGetCurrentContext,7.054,1,7.054,7.054,7.054,0
host,acl,aclrtGetDeviceCount,7.065,2,3.532,2.381,4.684,1.326
host,acl,aclrtGetResInCurrentThread,2.26,2,1.13,0.199,2.061,0.867
host,acl,aclrtGetStreamAttribute,3.37,1,3.37,3.37,3.37,0
host,acl,aclrtLaunchKernelWithHostArgs,57.46,1,57.46,57.46,57.46,0
host,acl,aclrtMemcpy,86.839,2,43.42,39.527,47.312,15.152
host,acl,aclrtResetDevice,5.128,1,5.128,5.128,5.128,0
host,acl,aclrtSetDevice,42.724,1,42.724,42.724,42.724,0
host,acl,aclrtSetOpExecuteTimeOutV2,1146.056,1,1146.056,1146.056,1146.056,0
host,acl,aclrtSetStreamFailureMode,12.853,2,6.427,2.046,10.807,19.189
host,acl,aclrtSynchronizeDeviceWithTimeout,19.24,2,9.62,6.532,12.708,9.536
host,acl,aclrtSynchronizeStream,33.618,2,16.809,4.622,28.996,148.523
host,node,launch,1257.26,2,628.63,559.869,697.391,4728.075
