Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,76.331,2,38.166,3.565,72.766,1197.195
host,acl,aclmdlRICaptureGetInfo,13.767,6,2.294,0.225,7.777,7.593
host,acl,aclnnInplaceNormal,1705.466,1,1705.466,1705.466,1705.466,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,532622.918,1,532622.918,532622.918,532622.918,0
host,acl,aclrtBinaryLoadFromData,76.653,1,76.653,76.653,76.653,0
host,acl,aclrtCreateStreamWithConfig,2204.984,2,1102.492,1080.086,1124.898,502.029
host,acl,aclrtCtxGetSysParamOpt,12.558,8,1.57,0.33,7.89,5.998
host,acl,aclrtCtxSetSysParamOpt,3.056,2,1.528,0.716,2.34,0.659
host,acl,aclrtDestroyStreamForce,605.753,1,605.753,605.753,605.753,0
host,acl,aclrtFree,15.555,1,15.555,15.555,15.555,0
host,acl,aclrtGetCurrentContext,7.522,1,7.522,7.522,7.522,0
host,acl,aclrtGetDeviceCount,7.035,2,3.518,2.446,4.589,1.148
host,acl,aclrtGetResInCurrentThread,2.463,2,1.232,0.201,2.262,1.062
host,acl,aclrtGetStreamAttribute,2.516,1,2.516,2.516,2.516,0
host,acl,aclrtLaunchKernelWithHostArgs,50.851,1,50.851,50.851,50.851,0
host,acl,aclrtMemcpy,84.753,2,42.377,39.257,45.496,9.731
host,acl,aclrtResetDevice,4.691,1,4.691,4.691,4.691,0
host,acl,aclrtSetDevice,40.927,1,40.927,40.927,40.927,0
host,acl,aclrtSetOpExecuteTimeOutV2,1146.412,1,1146.412,1146.412,1146.412,0
host,acl,aclrtSetStreamFailureMode,6.51,2,3.255,2.206,4.304,1.1
host,acl,aclrtSynchronizeDeviceWithTimeout,20.363,2,10.182,7.291,13.072,8.355
host,acl,aclrtSynchronizeStream,31.328,2,15.664,4.15,27.178,132.572
host,node,launch,1286.36,2,643.18,562.532,723.828,6504.1
