Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,64.884,2,32.442,3.214,61.67,854.276
host,acl,aclmdlRICaptureGetInfo,19.328,6,3.221,0.192,13.197,21.532
host,acl,aclnnInplaceNormal,1670.42,1,1670.42,1670.42,1670.42,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,532611.238,1,532611.238,532611.238,532611.238,0
host,acl,aclrtBinaryLoadFromData,81.369,1,81.369,81.369,81.369,0
host,acl,aclrtCreateStreamWithConfig,1984.094,2,992.047,887.902,1096.192,10846.181
host,acl,aclrtCtxGetSysParamOpt,10.912,8,1.364,0.327,6.968,4.6
host,acl,aclrtCtxSetSysParamOpt,2.674,2,1.337,0.628,2.046,0.503
host,acl,aclrtDestroyStreamForce,588.851,1,588.851,588.851,588.851,0
host,acl,aclrtFree,15.226,1,15.226,15.226,15.226,0
host,acl,aclrtGetCurrentContext,1.944,1,1.944,1.944,1.944,0
host,acl,aclrtGetDeviceCount,6.296,2,3.148,2.028,4.268,1.254
host,acl,aclrtGetResInCurrentThread,2.29,2,1.145,0.239,2.051,0.821
host,acl,aclrtGetStreamAttribute,2.393,1,2.393,2.393,2.393,0
host,acl,aclrtLaunchKernelWithHostArgs,42.26,1,42.26,42.26,42.26,0
host,acl,aclrtMemcpy,82.752,2,41.376,37.753,44.999,13.126
host,acl,aclrtResetDevice,4.674,1,4.674,4.674,4.674,0
host,acl,aclrtSetDevice,42.205,1,42.205,42.205,42.205,0
host,acl,aclrtSetOpExecuteTimeOutV2,1144.181,1,1144.181,1144.181,1144.181,0
host,acl,aclrtSetStreamFailureMode,9.69,2,4.845,2.057,7.633,7.773
host,acl,aclrtSynchronizeDeviceWithTimeout,19.948,2,9.974,7,12.948,8.845
host,acl,aclrtSynchronizeStream,29.779,2,14.89,4.009,25.77,118.385
host,node,launch,1256.856,2,628.428,547.727,709.129,6512.651
