Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,65.419,2,32.71,3.255,62.164,867.568
host,acl,aclmdlRICaptureGetInfo,19.503,6,3.251,0.248,13.145,21.174
host,acl,aclnnInplaceNormal,1682.538,1,1682.538,1682.538,1682.538,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,523640.687,1,523640.687,523640.687,523640.687,0
host,acl,aclrtBinaryLoadFromData,68.128,1,68.128,68.128,68.128,0
host,acl,aclrtCreateStreamWithConfig,2010.193,2,1005.097,900.721,1109.472,10894.245
host,acl,aclrtCtxGetSysParamOpt,21.149,8,2.644,0.54,14.77,21.29
host,acl,aclrtCtxSetSysParamOpt,3.21,2,1.605,0.912,2.298,0.48
host,acl,aclrtDestroyStreamForce,583.079,1,583.079,583.079,583.079,0
host,acl,aclrtFree,15.55,1,15.55,15.55,15.55,0
host,acl,aclrtGetCurrentContext,7.863,1,7.863,7.863,7.863,0
host,acl,aclrtGetDeviceCount,4.754,2,2.377,2.11,2.644,0.071
host,acl,aclrtGetResInCurrentThread,2.484,2,1.242,0.263,2.221,0.958
host,acl,aclrtGetStreamAttribute,2.898,1,2.898,2.898,2.898,0
host,acl,aclrtLaunchKernelWithHostArgs,52.023,1,52.023,52.023,52.023,0
host,acl,aclrtMemcpy,76.965,2,38.483,36.847,40.118,2.675
host,acl,aclrtResetDevice,5.627,1,5.627,5.627,5.627,0
host,acl,aclrtSetDevice,38.014,1,38.014,38.014,38.014,0
host,acl,aclrtSetOpExecuteTimeOutV2,1148.308,1,1148.308,1148.308,1148.308,0
host,acl,aclrtSetStreamFailureMode,6.043,2,3.022,2.322,3.721,0.489
host,acl,aclrtSynchronizeDeviceWithTimeout,21.829,2,10.915,7.663,14.166,10.572
host,acl,aclrtSynchronizeStream,34.594,2,17.297,4.364,30.23,167.262
host,node,launch,1257.474,2,628.737,553.361,704.113,5681.541
