Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,66.039,2,33.02,3.294,62.745,883.605
host,acl,aclmdlRICaptureGetInfo,12.739,6,2.123,0.21,7.058,6.402
host,acl,aclnnInplaceNormal,1649.995,1,1649.995,1649.995,1649.995,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,517808.625,1,517808.625,517808.625,517808.625,0
host,acl,aclrtBinaryLoadFromData,90.335,1,90.335,90.335,90.335,0
host,acl,aclrtCreateStreamWithConfig,4828.582,2,2414.291,1159.006,3669.576,1575740.431
host,acl,aclrtCtxGetSysParamOpt,11.521,8,1.44,0.386,6.969,4.587
host,acl,aclrtCtxSetSysParamOpt,2.748,2,1.374,0.693,2.055,0.464
host,acl,aclrtDestroyStreamForce,746.984,1,746.984,746.984,746.984,0
host,acl,aclrtFree,20.677,1,20.677,20.677,20.677,0
host,acl,aclrtGetCurrentContext,1.818,1,1.818,1.818,1.818,0
host,acl,aclrtGetDeviceCount,6.4,2,3.2,1.952,4.448,1.558
host,acl,aclrtGetResInCurrentThread,2.226,2,1.113,0.212,2.014,0.812
host,acl,aclrtGetStreamAttribute,2.743,1,2.743,2.743,2.743,0
host,acl,aclrtLaunchKernelWithHostArgs,53.968,1,53.968,53.968,53.968,0
host,acl,aclrtMemcpy,209.318,2,104.659,93.663,115.655,120.912
host,acl,aclrtResetDevice,6.111,1,6.111,6.111,6.111,0
host,acl,aclrtSetDevice,40.041,1,40.041,40.041,40.041,0
host,acl,aclrtSetOpExecuteTimeOutV2,1147.533,1,1147.533,1147.533,1147.533,0
host,acl,aclrtSetStreamFailureMode,5.885,2,2.943,2.283,3.602,0.435
host,acl,aclrtSynchronizeDeviceWithTimeout,25.8,2,12.9,9.8,16,9.61
host,acl,aclrtSynchronizeStream,32.802,2,16.401,4.802,28,134.537
host,node,launch,1241.677,2,620.839,544.91,696.767,5765.137
