Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,65.908,2,32.954,3.357,62.551,875.982
host,acl,aclmdlRICaptureGetInfo,14.634,6,2.439,0.218,9.101,10.054
host,acl,aclnnInplaceNormal,1669.364,1,1669.364,1669.364,1669.364,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,517240.984,1,517240.984,517240.984,517240.984,0
host,acl,aclrtBinaryLoadFromData,70.692,1,70.692,70.692,70.692,0
host,acl,aclrtCreateStreamWithConfig,2023.204,2,1011.602,899.944,1123.26,12467.509
host,acl,aclrtCtxGetSysParamOpt,8.971,8,1.121,0.342,4.267,1.665
host,acl,aclrtCtxSetSysParamOpt,2.714,2,1.357,0.635,2.079,0.521
host,acl,aclrtDestroyStreamForce,3509.767,1,3509.767,3509.767,3509.767,0
host,acl,aclrtFree,27.124,1,27.124,27.124,27.124,0
host,acl,aclrtGetCurrentContext,1.76,1,1.76,1.76,1.76,0
host,acl,aclrtGetDeviceCount,7.653,2,3.827,2.438,5.215,1.928
host,acl,aclrtGetResInCurrentThread,2.38,2,1.19,0.202,2.178,0.976
host,acl,aclrtGetStreamAttribute,3.471,1,3.471,3.471,3.471,0
host,acl,aclrtLaunchKernelWithHostArgs,59.501,1,59.501,59.501,59.501,0
host,acl,aclrtMemcpy,209.354,2,104.677,98.395,110.959,39.464
host,acl,aclrtResetDevice,6.477,1,6.477,6.477,6.477,0
host,acl,aclrtSetDevice,39.106,1,39.106,39.106,39.106,0
host,acl,aclrtSetOpExecuteTimeOutV2,1147.411,1,1147.411,1147.411,1147.411,0
host,acl,aclrtSetStreamFailureMode,12.301,2,6.151,2.065,10.236,16.691
host,acl,aclrtSynchronizeDeviceWithTimeout,26.59,2,13.295,8.834,17.756,19.901
host,acl,aclrtSynchronizeStream,26.081,2,13.041,4.543,21.538,72.208
host,node,launch,1237.876,2,618.938,534.792,703.084,7080.549
