Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,74.058,2,37.029,3.504,70.554,1123.926
host,acl,aclmdlRICaptureGetInfo,15.587,6,2.598,0.299,8.023,8.254
host,acl,aclnnInplaceNormal,1662.695,1,1662.695,1662.695,1662.695,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,517807.338,1,517807.338,517807.338,517807.338,0
host,acl,aclrtBinaryLoadFromData,84.096,1,84.096,84.096,84.096,0
host,acl,aclrtCreateStreamWithConfig,2224.626,2,1112.313,1079.555,1145.071,1073.087
host,acl,aclrtCtxGetSysParamOpt,14.483,8,1.81,0.444,8.138,6.154
host,acl,aclrtCtxSetSysParamOpt,3.291,2,1.646,0.619,2.672,1.054
host,acl,aclrtDestroyStreamForce,596.492,1,596.492,596.492,596.492,0
host,acl,aclrtFree,16.581,1,16.581,16.581,16.581,0
host,acl,aclrtGetCurrentContext,2.133,1,2.133,2.133,2.133,0
host,acl,aclrtGetDeviceCount,6.133,2,3.067,2.188,3.945,0.772
host,acl,aclrtGetResInCurrentThread,2.662,2,1.331,0.263,2.399,1.141
host,acl,aclrtGetStreamAttribute,2.666,1,2.666,2.666,2.666,0
host,acl,aclrtLaunchKernelWithHostArgs,55.541,1,55.541,55.541,55.541,0
host,acl,aclrtMemcpy,177.386,2,88.693,86.463,90.923,4.973
host,acl,aclrtResetDevice,5.77,1,5.77,5.77,5.77,0
host,acl,aclrtSetDevice,51.991,1,51.991,51.991,51.991,0
host,acl,aclrtSetOpExecuteTimeOutV2,1154.652,1,1154.652,1154.652,1154.652,0
host,acl,aclrtSetStreamFailureMode,13.911,2,6.956,2.685,11.226,18.237
host,acl,aclrtSynchronizeDeviceWithTimeout,23.742,2,11.871,7.834,15.908,16.297
host,acl,aclrtSynchronizeStream,33.069,2,16.535,5.496,27.573,121.848
host,node,launch,1251.639,2,625.82,558.03,693.609,4595.416
