Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,67.027,2,33.514,5.243,61.784,799.221
host,acl,aclmdlRICaptureGetInfo,16.116,6,2.686,0.203,9.054,10.565
host,acl,aclnnInplaceNormal,1676.011,1,1676.011,1676.011,1676.011,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,518134.422,1,518134.422,518134.422,518134.422,0
host,acl,aclrtBinaryLoadFromData,68.203,1,68.203,68.203,68.203,0
host,acl,aclrtCreateStreamWithConfig,2168.483,2,1084.242,1046.887,1121.596,1395.359
host,acl,aclrtCtxGetSysParamOpt,13.888,8,1.736,0.318,7.927,5.902
host,acl,aclrtCtxSetSysParamOpt,3.198,2,1.599,0.794,2.404,0.648
host,acl,aclrtDestroyStreamForce,604.613,1,604.613,604.613,604.613,0
host,acl,aclrtFree,18.561,1,18.561,18.561,18.561,0
host,acl,aclrtGetCurrentContext,7.956,1,7.956,7.956,7.956,0
host,acl,aclrtGetDeviceCount,7.577,2,3.789,2.357,5.22,2.049
host,acl,aclrtGetResInCurrentThread,2.287,2,1.144,0.213,2.074,0.866
host,acl,aclrtGetStreamAttribute,2.76,1,2.76,2.76,2.76,0
host,acl,aclrtLaunchKernelWithHostArgs,75.035,1,75.035,75.035,75.035,0
host,acl,aclrtMemcpy,246.93,2,123.465,113.773,133.157,93.935
host,acl,aclrtResetDevice,5.798,1,5.798,5.798,5.798,0
host,acl,aclrtSetDevice,43.218,1,43.218,43.218,43.218,0
host,acl,aclrtSetOpExecuteTimeOutV2,1151.829,1,1151.829,1151.829,1151.829,0
host,acl,aclrtSetStreamFailureMode,13.753,2,6.877,2.241,11.512,21.488
host,acl,aclrtSynchronizeDeviceWithTimeout,34.327,2,17.164,7.153,27.174,100.21
host,acl,aclrtSynchronizeStream,51.636,2,25.818,14.573,37.063,126.45
host,node,launch,1269.037,2,634.519,557.013,712.024,6007.103
