Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,87.475,2,43.738,3.49,83.985,1619.861
host,acl,aclmdlRICaptureGetInfo,17.475,6,2.912,0.216,11.687,16.944
host,acl,aclnnInplaceNormal,1682.175,1,1682.175,1682.175,1682.175,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,528141.701,1,528141.701,528141.701,528141.701,0
host,acl,aclrtBinaryLoadFromData,94.531,1,94.531,94.531,94.531,0
host,acl,aclrtCreateStreamWithConfig,2294.703,2,1147.352,1145.804,1148.899,2.395
host,acl,aclrtCtxGetSysParamOpt,11.441,8,1.43,0.327,6.87,4.425
host,acl,aclrtCtxSetSysParamOpt,2.929,2,1.465,0.68,2.249,0.615
host,acl,aclrtDestroyStreamForce,594.373,1,594.373,594.373,594.373,0
host,acl,aclrtFree,21.392,1,21.392,21.392,21.392,0
host,acl,aclrtGetCurrentContext,1.813,1,1.813,1.813,1.813,0
host,acl,aclrtGetDeviceCount,8.386,2,4.193,2.108,6.278,4.347
host,acl,aclrtGetResInCurrentThread,2.487,2,1.244,0.214,2.273,1.06
host,acl,aclrtGetStreamAttribute,2.953,1,2.953,2.953,2.953,0
host,acl,aclrtLaunchKernelWithHostArgs,41.447,1,41.447,41.447,41.447,0
host,acl,aclrtMemcpy,101.39,2,50.695,50.215,51.175,0.23
host,acl,aclrtResetDevice,5.826,1,5.826,5.826,5.826,0
host,acl,aclrtSetDevice,41.394,1,41.394,41.394,41.394,0
host,acl,aclrtSetOpExecuteTimeOutV2,1149.954,1,1149.954,1149.954,1149.954,0
host,acl,aclrtSetStreamFailureMode,5.909,2,2.955,2.301,3.608,0.427
host,acl,aclrtSynchronizeDeviceWithTimeout,18.708,2,9.354,6.409,12.299,8.673
host,acl,aclrtSynchronizeStream,31.758,2,15.879,4.823,26.935,122.235
host,node,launch,1244.439,2,622.219,553.313,691.126,4748.106
