Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,59.967,2,29.984,3.115,56.852,721.916
host,acl,aclmdlRICaptureGetInfo,12.294,6,2.049,0.217,6.944,6.016
host,acl,aclnnInplaceNormal,1643.222,1,1643.222,1643.222,1643.222,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,526730.596,1,526730.596,526730.596,526730.596,0
host,acl,aclrtBinaryLoadFromData,70.46,1,70.46,70.46,70.46,0
host,acl,aclrtCreateStreamWithConfig,2182.604,2,1091.302,1043.987,1138.617,2238.709
host,acl,aclrtCtxGetSysParamOpt,11.297,8,1.412,0.309,6.725,4.219
host,acl,aclrtCtxSetSysParamOpt,3.069,2,1.535,0.967,2.102,0.322
host,acl,aclrtDestroyStreamForce,572.615,1,572.615,572.615,572.615,0
host,acl,aclrtFree,15.49,1,15.49,15.49,15.49,0
host,acl,aclrtGetCurrentContext,1.679,1,1.679,1.679,1.679,0
host,acl,aclrtGetDeviceCount,7.266,2,3.633,1.852,5.414,3.172
host,acl,aclrtGetResInCurrentThread,2.582,2,1.291,0.205,2.377,1.179
host,acl,aclrtGetStreamAttribute,2.617,1,2.617,2.617,2.617,0
host,acl,aclrtLaunchKernelWithHostArgs,55.462,1,55.462,55.462,55.462,0
host,acl,aclrtMemcpy,103.272,2,51.636,49.789,53.483,3.411
host,acl,aclrtResetDevice,4.757,1,4.757,4.757,4.757,0
host,acl,aclrtSetDevice,41.3,1,41.3,41.3,41.3,0
host,acl,aclrtSetOpExecuteTimeOutV2,1153.96,1,1153.96,1153.96,1153.96,0
host,acl,aclrtSetStreamFailureMode,12.781,2,6.39,2.148,10.633,17.999
host,acl,aclrtSynchronizeDeviceWithTimeout,21.665,2,10.833,6.722,14.943,16.896
host,acl,aclrtSynchronizeStream,37.546,2,18.773,4.302,33.244,209.41
host,node,launch,1234.687,2,617.344,538.856,695.831,6160.288
