"number","title","state","created_at","updated_at","closed_at","html_url","body"
"32","K-chunked matmul in auto_incore generates invalid PTO IR (tpush_to_aiv / tpop_from_aic parse failure)","closed","2026-03-23T03:37:55Z","2026-04-09T00:58:18Z","2026-04-09T00:58:18Z","https://github.com/hw-native-sys/pypto-lib/issues/32","## Summary

When converting the simple matmul example from a single full-K matmul to K-chunked accumulation (the standard pattern used in all Qwen3/DeepSeek examples), the pypto compiler generates PTO IR containing `pto.tpush_to_aiv` / `pto.tpop_from_aic` instructions that ptoas fails to parse.

## Steps to Reproduce

Modify `examples/matmul.py` to use K-dimension chunking:

```python
K_TILE = 128  # new: tile size along K dimension

@pl.function(type=pl.FunctionType.Opaque)
def matmul(self, a, b, c):
    with pl.auto_incore():
        for mb in pl.parallel(0, m, m_tile, chunk=m_chunk):
            for nb in pl.parallel(0, n, n_tile, chunk=n_chunk):
                acc = pl.create_tensor([m_tile, n_tile], dtype=pl.FP32)
                acc = pl.mul(acc, 0.0)
                for kb in pl.range(k_blocks):
                    k0 = kb * k_tile
                    tile_a = pl.slice(a, [m_tile, k_tile], [mb, k0])
                    tile_b = pl.slice(b, [k_tile, n_tile], [k0, nb])
                    acc = pl.add(acc, pl.matmul(tile_a, tile_b))
                c = pl.assemble(c, acc, [mb, nb])
    return c
```

Then run:
```bash
python examples/matmul.py
```

## Observed Behavior

ptoas fails to parse the generated PTO IR for both AIC and AIV kernels:

```
matmul_incore_0_aic: loc(...aic.pto:36:25): error: expected '('
matmul_incore_0_aiv: loc(...aiv.pto:19:26): error: expected '{'
```

The generated AIC code contains:
```
pto.tpush_to_aiv ins(%t__tile : !pto.tile_buf<...>) {aiv_idx = 0}
```

And the generated AIV code contains:
```
pto.tpop_from_aic outs(%t__tile_Vec : !pto.tile_buf<...>) {aiv_idx = 0}
```

ptoas cannot parse these instructions.

## Root Cause Analysis

The K-chunked pattern requires splitting computation between AIC (cube unit — matmul) and AIV (vector unit — accumulation via `add`). The compiler generates `tpush_to_aiv` / `tpop_from_aic` instructions for AIC↔AIV data transfer, but **ptoas does not recognize the attribute syntax `{aiv_idx = 0}` on these instructions**.

This is either:
1. A ptoas parser bug — these instructions should be supported but the attribute syntax is wrong
2. A pypto codegen bug — the generated attribute format doesn't match what ptoas expects

## Impact

- The K-chunked accumulation pattern (`pl.add(acc, pl.matmul(...))`) is the **standard pattern** used in all production examples (Qwen3 decode/prefill, DeepSeek V3.2)
- The simple `matmul.py` example works only because it avoids K-chunking by consuming the full K dimension in a single `pl.matmul` call
- This bug may affect any new model implementation that tries to introduce K-tiling from scratch using the matmul example as a starting point

## Environment

- pypto: current main branch
- ptoas: v0.9
- Platform: a2a3"
"34","[Feature] Provide a shared environment version manifest for pypto and pypto-lib","closed","2026-03-23T06:40:15Z","2026-05-08T10:03:17Z","2026-05-08T10:03:17Z","https://github.com/hw-native-sys/pypto-lib/issues/34","### Summary

Add a shared environment version manifest or lock file that both `pypto` and `pypto-lib` can consume, so dependency and toolchain upgrades are defined in one place and stay synchronized.

### Motivation / Use Case

Environment-related versions currently need to be maintained separately across `pypto` and `pypto-lib`. This makes coordinated upgrades error-prone and increases the risk of drift between local development, CI, and issue-reproduction workflows.

A shared source of truth for environment versions would reduce duplicated maintenance, make upgrades easier to roll out consistently, and improve reproducibility across the two repositories.

### Proposed API / Behavior

Introduce a shared environment version manifest (or equivalent single-source configuration) that is reused by both repositories.

Expected behavior:
- Environment and toolchain versions are declared in one place.
- Setup and CI flows in both `pypto` and `pypto-lib` read from the same configuration.
- Upgrading the environment only requires updating the shared manifest, rather than changing multiple repositories independently.

### Alternatives Considered

Continue maintaining separate environment configuration in each repository and manually keep them in sync during upgrades.

### Additional Context

This would also help contributor onboarding and issue reproduction, because both repositories could rely on the same environment definition instead of duplicating version management."
"50","[Bug] ptoas first compilation after fresh install always times out","closed","2026-03-27T09:42:02Z","2026-03-27T09:46:16Z","2026-03-27T09:46:16Z","https://github.com/hw-native-sys/pypto-lib/issues/50","### Diagnosis

**ptoas** — After downloading/installing a new ptoas binary, the very first compilation task always times out. Subsequent compilations work normally. This suggests a cold-start overhead issue in ptoas (e.g. lazy initialization, cache warm-up, or dynamic library loading on first run).

Upstream repo: https://github.com/zhangstevenunity/PTOAS

### Description

Every time a fresh ptoas binary is downloaded, the first compilation group encounters a 60-second timeout:

```
Failed to compile group 'qwen3_decode_layer_incore_1' [qwen3_decode_layer_incore_1_aic, qwen3_decode_layer_incore_1_aiv]: ptoas compilation timed out after 60s
```

**Steps to reproduce:**

1. Download a fresh ptoas binary from [PTOAS GitHub Releases](https://github.com/zhangstevenunity/PTOAS/releases) (e.g. `ptoas-bin-macos-aarch64.tar.gz`)
2. Extract and set `PTOAS_ROOT` to the extracted directory
3. Run any compilation that invokes ptoas, e.g. `python3 examples/models/qwen3/qwen3_32b_decode_tilelet.py`
4. The first ptoas compilation group times out after 60s
5. Re-running the same script succeeds without timeout

**Workaround:** Run any trivial compilation first to ""warm up"" ptoas, then run the actual task.

### Environment

| Component | Version |
|---|---|
| pypto-lib | `3acde04` |
| pypto | `50a84d7` (branch: `main`) |
| simpler | `2757be6` (branch: `stable`) |
| ptoas | `v0.17` |
| CANN | not detected |

### Host Platform

macOS (arm64)

### Additional Context

This issue is reproducible on every fresh ptoas install. The `ptoas --version` check also exhibits similar behavior — it times out on the first invocation (observed with a 20s timeout). This strongly suggests a one-time cold-start cost in the ptoas binary."
"58","[A5 E2E] qwen3_32b_decode_tilelet — Full Decode Layer Validation","closed","2026-04-01T10:35:46Z","2026-04-07T06:39:24Z","2026-04-07T06:39:24Z","https://github.com/hw-native-sys/pypto-lib/issues/58","## Objective

End-to-end validation of `examples/models/qwen3/qwen3_32b_decode_tilelet.py` on the **A5** platform, covering all three `pl.auto_incore()` scopes of the decode layer.

## Scopes

### Scope 1 — Input RMSNorm + Q/K/V Projection (lines ~152–203)

**Owner**: @Crystal-wzy

- **Input RMSNorm**: per-row squared-sum accumulated in `[BATCH_TILE=4, K_CHUNK=128]` FP32 chunks (= 2 KB = TILELET MAX), followed by `rsqrt` to compute `inv_rms`.
- **Q projection**: matmul over all `HIDDEN_BLOCKS` K-chunks, gamma-scaled, assembled to `q_proj` (shape `[BATCH, HIDDEN]` BF16).
- **K projection**: same pattern, assembled to `k_proj` (shape `[BATCH, KV_HIDDEN]` BF16).
- **V projection**: fused with K in the same inner loop, assembled to `v_proj` (shape `[BATCH, KV_HIDDEN]` BF16).

Key tiling constants: `BATCH_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `KV_OUT_CHUNK=64`.

### Scope 2 — RoPE + KV Cache Update + Decode Attention (lines ~211–393)

**Owner**: @zhangqi-chen

- **K RoPE rotation**: all `NUM_KV_HEADS=8` heads batched together so RoPE half-vectors are `[8, 64]` FP32 = 2 KB = TILELET MAX. Two explicit `pl.incore()` stages: gather K heads into GM buffer, then rotate lo/hi halves.
- **KV cache update**: writes rotated K and V into `k_cache` / `v_cache` at the current decode position.
- **Decode attention (online softmax)**: for each group of `Q_HEAD_BATCH=8` Q heads, applies RoPE to Q, pads Q to `Q_HEAD_PAD=16` for cube fractal alignment, then iterates over `ctx_blocks` KV tiles (`[SEQ_TILE=64, HEAD_DIM=128]` BF16 = 16 KB = TILE MAX). Each tile: QK matmul → `fillpad` → scale → row_max/exp → BF16 round-trip → row_sum → SV matmul → online rescale (flash-attention style). Final `row_expand_div` by `li`, assembled into `attn_out`.

Key tiling constants: `Q_HEAD_BATCH=8`, `Q_HEAD_PAD=16`, `SEQ_TILE=64`, `HEAD_DIM=128`, `Q_GROUPS=1`, `TOTAL_Q_GROUPS=8`.

### Scope 3 — Output Projection + Post-RMSNorm + MLP + Residual (lines ~396–474)

**Owner**: @YunjiQin

- **Output projection**: matmul `attn_out × wo` accumulated in `[BATCH_TILE=4, Q_OUT_CHUNK=64]` FP32 tiles; first residual add (`hidden_states + o_proj`) assembled into `resid1_tile`.
- **Post RMSNorm**: per-row squared-sum over `resid1_tile`, `rsqrt`, gamma-scaled, assembled into `post_norm_tile` (BF16).
- **MLP gate/up projections**: for each `MLP_OUT_CHUNK=64` output block, accumulate `gate_acc` and `up_acc` via matmul over all `HIDDEN_BLOCKS`; apply SiLU (`gate × sigmoid(gate) × up`).
- **Down projection**: accumulate `w_down` matmul result into `down_proj_tile` (`[BATCH_TILE, HIDDEN]` FP32) in `[MLP_OUT_CHUNK=64, K_CHUNK=128]` BF16 tiles = 16 KB = TILE MAX.
- **Second residual add**: `down_proj + resid1` cast to BF16 and assembled into output tensor `out`.

Key tiling constants: `BATCH_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `MLP_OUT_CHUNK=64`.

## File

`examples/models/qwen3/qwen3_32b_decode_tilelet.py`"
"59","[A5 E2E] Scope 1: Input RMSNorm + Q/K/V Projection — qwen3_32b_decode_tilelet","closed","2026-04-01T10:37:48Z","2026-04-02T01:07:41Z","2026-04-02T01:07:41Z","https://github.com/hw-native-sys/pypto-lib/issues/59","## Objective

End-to-end validation of **Scope 1** of `examples/models/qwen3/qwen3_32b_decode_tilelet.py` on the **A5** platform.

**Owner**: @Crystal-wzy

## Scope Description

Scope 1 covers the first `pl.auto_incore()` block (lines ~152–203):

- **Input RMSNorm**: per-row squared-sum accumulated in `[BATCH_TILE=4, K_CHUNK=128]` FP32 chunks (= 2 KB = TILELET MAX), followed by `rsqrt` to compute `inv_rms`.
- **Q projection**: matmul over all `HIDDEN_BLOCKS` K-chunks, gamma-scaled, assembled to `q_proj` (shape `[BATCH, HIDDEN]` BF16).
- **K projection**: same pattern, assembled to `k_proj` (shape `[BATCH, KV_HIDDEN]` BF16).
- **V projection**: fused with K in the same inner loop, assembled to `v_proj` (shape `[BATCH, KV_HIDDEN]` BF16).

Key tiling constants: `BATCH_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `KV_OUT_CHUNK=64`.

## Acceptance Criteria

- [ ] `python examples/models/qwen3/qwen3_32b_decode_tilelet.py --platform a5` compiles without error
- [ ] Scope 1 kernel executes correctly on A5 hardware
- [ ] Numerical outputs (`q_proj`, `k_proj`, `v_proj`) match golden reference within tolerance (`rtol=2e-2`, `atol=2e-2`)

## File

`examples/models/qwen3/qwen3_32b_decode_tilelet.py`"
"60","[A5 E2E] Scope 3: Output Projection + Post-RMSNorm + MLP + Residual — qwen3_32b_decode_tilelet","closed","2026-04-01T10:37:51Z","2026-04-02T01:07:44Z","2026-04-02T01:07:44Z","https://github.com/hw-native-sys/pypto-lib/issues/60","## Objective

End-to-end validation of **Scope 3** of `examples/models/qwen3/qwen3_32b_decode_tilelet.py` on the **A5** platform.

**Owner**: @YunjiQin

## Scope Description

Scope 3 covers the second `pl.auto_incore()` block (lines ~396–474):

- **Output projection**: matmul `attn_out × wo` accumulated in `[BATCH_TILE=4, Q_OUT_CHUNK=64]` FP32 tiles; first residual add (`hidden_states + o_proj`) assembled into `resid1_tile`.
- **Post RMSNorm**: per-row squared-sum over `resid1_tile`, `rsqrt`, gamma-scaled, assembled into `post_norm_tile` (BF16).
- **MLP gate/up projections**: for each `MLP_OUT_CHUNK=64` output block, accumulate `gate_acc` and `up_acc` via matmul over all `HIDDEN_BLOCKS`; apply SiLU (`gate × sigmoid(gate) × up`).
- **Down projection**: accumulate `w_down` matmul result into `down_proj_tile` (`[BATCH_TILE, HIDDEN]` FP32) in `[MLP_OUT_CHUNK=64, K_CHUNK=128]` BF16 tiles = 16 KB = TILE MAX.
- **Second residual add**: `down_proj + resid1` cast to BF16 and assembled into the output tensor `out`.

Key tiling constants: `BATCH_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `MLP_OUT_CHUNK=64`.

## Acceptance Criteria

- [ ] `python examples/models/qwen3/qwen3_32b_decode_tilelet.py --platform a5` compiles without error
- [ ] Scope 3 kernel executes correctly on A5 hardware
- [ ] Final `out` tensor matches golden reference within tolerance (`rtol=2e-2`, `atol=2e-2`)

## File

`examples/models/qwen3/qwen3_32b_decode_tilelet.py`"
"70","[Perf] qwen3_32b_decode_tilelet — Performance & Code Improvement","closed","2026-04-07T06:15:20Z","2026-04-10T13:21:35Z","2026-04-10T13:21:35Z","https://github.com/hw-native-sys/pypto-lib/issues/70","## Objective

Improve the end-to-end performance and code quality of `examples/models/qwen3/qwen3_32b_decode_tilelet.py`, targeting reduced GM round-trips, better on-chip utilisation, and cleaner code patterns across all three `pl.auto_incore()` / `pl.incore()` scopes.

## Scope-by-Scope Analysis

### Scope 1 — Input RMSNorm + Q/K/V Projection (lines ~152–233)

**Performance**
- **Zero-init overhead**: sequential loops (lines 153–166) initialise `q_proj`, `attn_out`, `k_proj`, `v_proj` one chunk at a time. Consider using `pl.parallel` or eliminating the zero-init by handling the first matmul iteration differently.
- **K/V projection separation**: K and V share the same `normed_tile` input but are computed in separate `pl.incore()` blocks (lines 212–233). Fusing them into a single incore region would halve the `normed_tile` GM reads.
- **Manual incore**: Scope 1 uses explicit `pl.incore()` instead of `pl.auto_incore()`, missing potential compiler optimisations for buffer placement and scheduling.

**Code quality**
- **RMSNorm missing `rsqrt`**: lines 184–196 compute `variance = mean(x²) + eps` but then multiply `x_chunk` by `variance` directly instead of `rsqrt(variance)`. Compare with Scope 3 (line 422–423) which correctly uses `pl.rsqrt`. The golden reference has the same bug, so results match — but the math is wrong for actual RMSNorm.
- **Docstring stale**: module docstring (line 27) still references `BATCH_TILE=4` but the constant was changed to 16 (line 89).

### Scope 2 — RoPE + KV Cache Update + Decode Attention (lines ~240–390)

**Performance**
- **Excessive GM round-trips in attention loop**: each `ctx_blocks` iteration has 4 separate `pl.incore()` stages (QK matmul → softmax → SV matmul → online rescale, lines 328–381). Intermediate tensors `raw_scores_pad`, `exp_padded`, `oi_tmp_pad` are written to GM and read back between stages. Fusing stages would eliminate these round-trips.
- **Padded matmul waste**: `q_padded` is `[Q_HEAD_PAD=16, HEAD_DIM=128]` but only `Q_HEAD_BATCH=8` rows are valid. The QK and SV matmuls compute 2× the necessary rows then discard half.
- **Consider `matmul_acc`**: QK matmul (line 335) and SV matmul (line 364) could benefit from `matmul_acc` pattern if the loop structure is refactored.

**Code quality**
- **`raw_scores_pad` write-then-read**: `raw_scores_pad` is created as a GM tensor (line 327), written via matmul (line 335), then sliced for softmax (line 343). This explicit GM tensor could be avoided if the stages were fused.

### Scope 3 — Output Projection + Post-RMSNorm + MLP + Residual (lines ~393–469)

**Performance**
- **Output projection pattern**: line 409 uses `pl.add(o_acc, pl.matmul(a_chunk, w_chunk))` instead of `pl.matmul_acc`, losing potential hardware accumulation.
- **Gate/Up shared reads**: MLP gate and up projections (lines 443–449) both read `post_chunk` from the same slice of `post_norm_tile` but accumulate separately. Consider whether these can share the load.
- **Down projection inner parallelism**: `dob` loop (line 455) uses `chunk=4`; profiling may show a different chunk size is better for the memory access pattern.

**Code quality**
- Already uses `pl.auto_incore(split=pl.SplitMode.UP_DOWN)` ✓ — cleanest scope.

## Cross-Scope Opportunities

- **Scope 1 → Scope 2 GM traffic**: `q_proj` / `k_proj` / `v_proj` are written to GM in Scope 1 and read back in Scope 2. Pipelining or merging these scopes could reduce total GM bandwidth.
- **Consistent matmul pattern**: standardise on `matmul` + `matmul_acc` (as Scope 1 already does for Q/K/V) across all scopes.

## File

`examples/models/qwen3/qwen3_32b_decode_tilelet.py`"
"71","[A2A3/A5 E2E] qwen3_32b_prefill_tilelet — Full Prefill Layer Validation","closed","2026-04-07T06:22:04Z","2026-04-25T04:49:05Z","2026-04-25T04:49:05Z","https://github.com/hw-native-sys/pypto-lib/issues/71","## Objective

End-to-end validation of `examples/models/qwen3/qwen3_32b_prefill_tilelet.py` on both the **A2A3** and **A5** platforms, covering all three `pl.auto_incore()` / `pl.incore()` scopes of the prefill layer.

Each session in the batch has a variable input sequence length (up to `MAX_SEQ=4096`). Tokens are processed in `TOK_TILE=4` chunks; the program only computes valid tokens per session. Tensors are padded to `MAX_SEQ` on the sequence axis; padding rows are harmless.

## Scopes

### Scope 1 — Input RMSNorm + Q/K/V Projection (lines ~113–177)

- **Input RMSNorm**: per-row squared-sum accumulated in `[TOK_TILE=4, K_CHUNK=128]` FP32 chunks via `pl.row_sum`, followed by `pl.rsqrt` to compute `inv_rms` (shape `[TOK_TILE, 1]`).
- **Q projection**: for each `Q_OUT_BLOCKS=80` output block, matmul over all `HIDDEN_BLOCKS=40` K-chunks using `pl.add(q_acc, pl.matmul(...))` pattern, assembled to `q_proj_tile` (shape `[TOK_TILE, HIDDEN]` BF16). Parallelised with `chunk=8`.
- **K/V projection**: fused K+V in the same inner loop, each `KV_OUT_BLOCKS=8` output block accumulates `k_acc` and `v_acc`, assembled to `k_proj_tile` / `v_proj_tile` (shape `[TOK_TILE, KV_HIDDEN]` BF16). Parallelised with `chunk=8`.
- **3D → 2D reshape**: `hidden_states` is 3D `[BATCH, MAX_SEQ, HIDDEN]`; slices are `[1, TOK_TILE, K_CHUNK]` with `valid_shape=[1, valid_tok, K_CHUNK]`, then `pl.reshape` to `[TOK_TILE, K_CHUNK]` for 2D matmul.
- **Scope style**: `pl.auto_incore()` — compiler decides incore/orchestration boundary.

Key tiling constants: `TOK_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `KV_OUT_CHUNK=64`.

### Scope 2 — RoPE + KV Cache Update + Causal Attention (lines ~184–334)

- **Per-token iteration**: `for ti in pl.range(valid_tok)` — each token is processed individually (causal; context length = `pos + 1`).
- **K gather + RoPE**: explicit `pl.incore()` gathers K heads from `k_proj_tile` into `k_group` (shape `[NUM_KV_HEADS=8, HEAD_DIM=128]` FP32), then applies RoPE rotation via `pl.concat(rot_lo, rot_hi)` and writes to `k_cache` / `v_cache`.
- **Q gather + RoPE**: per attention group, gathers `Q_HEAD_BATCH=4` Q heads from `q_proj_tile`, applies RoPE, produces `q_rot_bf16`.
- **Causal attention (online softmax)**: for each `ctx_blocks` KV tile (`[SEQ_TILE=64, HEAD_DIM=128]` BF16 = 16 KB = TILE MAX with `valid_shape`), four separate `pl.incore()` stages:
  1. QK matmul → `raw_scores`
  2. Scale → `row_max` → `exp` → `row_sum` → zero-pad → BF16 cast
  3. SV matmul → `oi_tmp`
  4. Online rescale (flash-attention style `mi`/`li`/`oi` update)
- **Result assembly**: `row_expand_div(oi, li)`, scatter per-head results into `attn_row`, then assemble into `attn_tile`.
- **Scope style**: explicit `pl.incore()` blocks — multiple small kernels per token.

Key tiling constants: `Q_HEAD_BATCH=4`, `SEQ_TILE=64`, `HEAD_DIM=128`, `Q_GROUPS=2`, `TOTAL_Q_GROUPS=16`.

### Scope 3 — Output Projection + Post-RMSNorm + MLP + Residual (lines ~337–421)

- **Output projection**: matmul `attn_tile × wo` accumulated in `[TOK_TILE=4, Q_OUT_CHUNK=64]` FP32 tiles via `pl.add(o_acc, pl.matmul(...))` pattern; first residual add (`hidden_states + o_proj`) assembled into `resid1_tile`. Parallelised with `chunk=8`.
- **Post RMSNorm**: per-row squared-sum over `resid1_tile`, `pl.rsqrt`, gamma-scaled, assembled into `post_norm_tile` (BF16).
- **MLP gate/up projections**: for each `MLP_OUT_BLOCKS=400` output block, accumulate `gate_acc` and `up_acc` via matmul over all `HIDDEN_BLOCKS`; apply SiLU (`gate × sigmoid(gate) × up`).
- **Down projection**: accumulate `w_down` matmul result into `down_proj_tile` (`[TOK_TILE, HIDDEN]` FP32) in `[MLP_OUT_CHUNK=64, K_CHUNK=128]` BF16 tiles = 16 KB = TILE MAX. Inner loop parallelised with `chunk=4`.
- **Second residual add**: `down_proj + resid1` cast to BF16 and assembled into 3D output tensor `out` at `[b, p0, o0]`.
- **Scope style**: `pl.auto_incore()` — compiler decides incore/orchestration boundary.

Key tiling constants: `TOK_TILE=4`, `K_CHUNK=128`, `Q_OUT_CHUNK=64`, `MLP_OUT_CHUNK=64`.

## TILELET / TILE Budget

```
Vector TILELET budget (2 KB = 2048 B, FP32 = 4 B/elem):
  [TOK_TILE, K_CHUNK]       FP32 = [4,128] × 4 =  2048 B = 2 KB  ✓ MAX
  [TOK_TILE, Q_OUT_CHUNK]   FP32 = [4, 64] × 4 =  1024 B = 1 KB  (50%)
  [TOK_TILE, KV_OUT_CHUNK]  FP32 = [4, 64] × 4 =  1024 B = 1 KB  (50%)
  [TOK_TILE, MLP_OUT_CHUNK] FP32 = [4, 64] × 4 =  1024 B = 1 KB  (50%)
  [Q_HEAD_BATCH, HEAD_DIM]  FP32 = [4,128] × 4 =  2048 B = 2 KB  ✓ MAX (attn)
  [Q_HEAD_BATCH, SEQ_TILE]  FP32 = [4, 64] × 4 =  1024 B = 1 KB  (attn scores)
  [NUM_KV_HEADS, HEAD_DIM]  FP32 = [8,128] × 4 =  4096 B = 4 KB  (K RoPE, 2×TILELET)

Cube TILE budget (16 KB = 16384 B, BF16 = 2 B/elem):
  [K_CHUNK, Q_OUT_CHUNK]    BF16 = [128, 64] × 2 = 16384 B = 16 KB ✓ MAX
  [K_CHUNK, KV_OUT_CHUNK]   BF16 = [128, 64] × 2 = 16384 B = 16 KB ✓ MAX
  [K_CHUNK, MLP_OUT_CHUNK]  BF16 = [128, 64] × 2 = 16384 B = 16 KB ✓ MAX
  [SEQ_TILE, HEAD_DIM]      BF16 = [ 64,128] × 2 = 16384 B = 16 KB ✓ MAX (attn)
  [MLP_OUT_CHUNK, K_CHUNK]  BF16 = [ 64,128] × 2 = 16384 B = 16 KB ✓ MAX (down proj)
```

## Platform Targets

| Platform | Status | Notes |
|----------|--------|-------|
| A2A3 | TBD | Default platform (`compile_and_run` defaults to `a2a3`) |
| A5 | TBD | `BackendType.Ascend950`; needs `--platform a5` |

## File

`examples/models/qwen3/qwen3_32b_prefill_tilelet.py`"
"73","[Bug] Handshake failure on Ascend910B3 during core initialization","closed","2026-04-07T07:58:45Z","2026-04-07T08:00:14Z","2026-04-07T08:00:14Z","https://github.com/hw-native-sys/pypto-lib/issues/73","### Diagnosis

**simpler** — The handshake failure occurs during runtime execution after AICPU kernel initialization. The log shows successful kernel execution start and initialization, followed by ""Handshaking with 72 cores"", but then only periodic memory statistics continue with no further execution progress, indicating a runtime hang during the handshake phase.

### Description

When running on Ascend910B3 hardware, the process hangs during the core handshake phase. The log shows:
- Successful AICPU kernel execution start and initialization
- ""Handshaking with 72 cores"" message at timestamp 11:01:14.082.645
- Following this, only periodic memory statistics are logged (every ~10 seconds) with no further execution progress
- No explicit error messages, but the process appears to hang indefinitely after the handshake attempt

### Environment

| Component | Version |
|---|---|
| pypto-lib | 9a4a25f |
| pypto | 55a50150 (branch: ai_fa) |
| simpler | fe63325 (branch: stable) |
| ptoas | 0.22 |
| CANN | not detected (but device log shows socVersion: Ascend910B3) |

### Host Platform

Linux aarch64

### Attachments"
"81","[Perf] Split scope1 projection accumulation in Qwen3 decode example","closed","2026-04-09T02:52:21Z","2026-04-25T04:49:05Z","2026-04-25T04:49:05Z","https://github.com/hw-native-sys/pypto-lib/issues/81","## Summary

Update the Qwen3 scope1 decode projection path to split Q/K/V accumulation into per-hidden-block matmuls in CUBE followed by a separate reduction in VEC.

## Motivation / Use Case

The current scope1 implementation on still performs Q, K, and V projection accumulation inside a single incore region(CUBE core) with repeated `pl.matmul_acc` calls.

We can replace that pattern with:
1. per-hidden-block `pl.matmul(...)` results written into preallocated partial buffers, and
2. a second incore pass that reduces those partials with `pl.add(...)`.

This keeps the scope1 implementation more explicit, avoids a long single-incore accumulation chain, and makes scope1 more consistent with the recent Qwen3 decode refactoring direction already happening in the repository.

## Proposed API / Behavior

No public API change is needed.

In `examples/models/qwen3/qwen3_32b_decode_scope1.py`, update `build_decode_projection_program()` so that:
- `q_partial`, `k_partial`, and `v_partial` are preallocated before the batch loop
- each hidden block computes its own `pl.matmul(...)` result
- partial results are assembled into the corresponding temporary buffer
- accumulation is done in a separate incore block using `pl.full(..., value=0.0)` plus repeated `pl.add(...)`
- the final `q_proj`, `k_proj`, and `v_proj` outputs keep the same shapes and function signature as today

## Alternatives Considered

- Keep the current single-incore `matmul_acc` implementation
- Consider exchange the N and K dimension in the loop
- Tune the tiling size of K"
