"repo","total_issues","open_issues","closed_issues","folder"
".github","0","0","0","D:\project\PyPTO3\github_issues\.github"
"hw-native-sys.github.io","0","0","0","D:\project\PyPTO3\github_issues\hw-native-sys.github.io"
"PTOAS","301","45","256","D:\project\PyPTO3\github_issues\PTOAS"
"pto-isa","76","9","67","D:\project\PyPTO3\github_issues\pto-isa"
"pypto","632","67","565","D:\project\PyPTO3\github_issues\pto"
"pypto_top_level_documents","0","0","0","D:\project\PyPTO3\github_issues\pypto_top_level_documents"
"pypto-lib","105","24","81","D:\project\PyPTO3\github_issues\pypto-lib"
"pypto-serving","39","28","11","D:\project\PyPTO3\github_issues\pypto-serving"
"pypto-skills","2","1","1","D:\project\PyPTO3\github_issues\pypto-skills"
"pypto-tools","0","0","0","D:\project\PyPTO3\github_issues\pypto-tools"
"simpler","310","44","266","D:\project\PyPTO3\github_issues\simpler"
